Month,TargetRevenue,TargetAOV,TargetConversionRate
2024-01-01,715120.42,282.97,0.02167
2024-02-01,668449.05,277.62,0.02107
2024-03-01,724726.87,275.34,0.0221
2024-04-01,748569.59,278.41,0.02
2024-05-01,759161.61,275.2,0.02271
2024-06-01,794249.64,279.69,0.01514
2024-07-01,761012.19,277.67,0.01907
2024-08-01,732722.26,281.96,0.01577
2024-09-01,682038.98,275.93,0.0127
2024-10-01,649271.48,291.28,0.01288
2024-11-01,614614.95,272.46,0.01429
2024-12-01,602981.21,286.6,0.01468
2025-01-01,638017.02,267.57,0.01689
2025-02-01,678269.04,282.58,0.01888
2025-03-01,713802.57,279.45,0.02179
2025-04-01,761233.3,275.84,0.01843
2025-05-01,795578.31,279.13,0.01826
2025-06-01,816367.39,272.73,0.01507
