Month,Channel,Sessions
2024-01-01,Direct,17676
2024-01-01,Organic,39300
2024-01-01,Paid Search,25562
2024-01-01,Email,6356
2024-01-01,Social,16902
2024-01-01,Referral,9783
2024-02-01,Direct,14726
2024-02-01,Organic,33322
2024-02-01,Paid Search,29843
2024-02-01,Email,6003
2024-02-01,Social,16630
2024-02-01,Referral,12724
2024-03-01,Direct,16865
2024-03-01,Organic,35512
2024-03-01,Paid Search,36752
2024-03-01,Email,12077
2024-03-01,Social,13383
2024-03-01,Referral,4360
2024-04-01,Direct,21207
2024-04-01,Organic,37607
2024-04-01,Paid Search,33457
2024-04-01,Email,6676
2024-04-01,Social,21307
2024-04-01,Referral,7236
2024-05-01,Direct,19083
2024-05-01,Organic,42418
2024-05-01,Paid Search,16579
2024-05-01,Email,10196
2024-05-01,Social,15349
2024-05-01,Referral,13573
2024-06-01,Direct,15408
2024-06-01,Organic,51349
2024-06-01,Paid Search,34462
2024-06-01,Email,17300
2024-06-01,Social,16296
2024-06-01,Referral,14729
2024-07-01,Direct,18023
2024-07-01,Organic,50095
2024-07-01,Paid Search,27164
2024-07-01,Email,3022
2024-07-01,Social,11299
2024-07-01,Referral,9897
2024-08-01,Direct,21798
2024-08-01,Organic,49400
2024-08-01,Paid Search,22638
2024-08-01,Email,1000
2024-08-01,Social,24141
2024-08-01,Referral,14599
2024-09-01,Direct,21213
2024-09-01,Organic,48495
2024-09-01,Paid Search,37437
2024-09-01,Email,13856
2024-09-01,Social,18381
2024-09-01,Referral,15765
2024-10-01,Direct,23346
2024-10-01,Organic,49655
2024-10-01,Paid Search,32910
2024-10-01,Email,10636
2024-10-01,Social,16050
2024-10-01,Referral,10864
2024-11-01,Direct,27712
2024-11-01,Organic,45247
2024-11-01,Paid Search,37668
2024-11-01,Email,7358
2024-11-01,Social,17268
2024-11-01,Referral,9233
2024-12-01,Direct,29870
2024-12-01,Organic,40884
2024-12-01,Paid Search,38774
2024-12-01,Email,9095
2024-12-01,Social,24819
2024-12-01,Referral,8529
2025-01-01,Direct,22615
2025-01-01,Organic,51478
2025-01-01,Paid Search,26553
2025-01-01,Email,16354
2025-01-01,Social,15435
2025-01-01,Referral,10967
2025-02-01,Direct,23749
2025-02-01,Organic,47139
2025-02-01,Paid Search,25172
2025-02-01,Email,5479
2025-02-01,Social,12407
2025-02-01,Referral,9598
2025-03-01,Direct,22835
2025-03-01,Organic,47441
2025-03-01,Paid Search,35783
2025-03-01,Email,5760
2025-03-01,Social,12290
2025-03-01,Referral,2128
2025-04-01,Direct,34631
2025-04-01,Organic,46403
2025-04-01,Paid Search,32319
2025-04-01,Email,4178
2025-04-01,Social,16314
2025-04-01,Referral,12066
2025-05-01,Direct,23756
2025-05-01,Organic,51248
2025-05-01,Paid Search,42139
2025-05-01,Email,6384
2025-05-01,Social,11569
2025-05-01,Referral,5341
2025-06-01,Direct,33590
2025-06-01,Organic,52071
2025-06-01,Paid Search,30562
2025-06-01,Email,11542
2025-06-01,Social,12957
2025-06-01,Referral,14390
